Winner,title_bout,weight_class,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_longest_win_streak,B_losses,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_longest_win_streak,R_losses,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,B_age,R_age
Red,FALSE,Women's Flyweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,170.18,165.1,125,1,0,0,0,1,0,0,0,0,0,0,0,0,Orthodox,162.56,157.48,125,30,28
Blue,FALSE,Heavyweight,5,0,2,0,9,4,5,0,0,5,9,0,0,14,Orthodox,193.04,195.58,238,1,0,0,6,4,1,0,1,1,10,0,0,12,Orthodox,190.5,200.66,260,35,34
Red,FALSE,Welterweight,3,0,3,0,3,0,0,0,0,2,1,0,0,3,Orthodox,187.96,193.04,170,0,6,0,6,1,0,0,1,2,3,0,0,6,Orthodox,180.34,185.42,170,31,32
Blue,FALSE,Welterweight,3,1,0,0,2,3,0,0,0,0,2,2,0,4,Orthodox,182.88,193.04,170,0,1,0,4,8,0,0,1,3,5,1,0,10,Orthodox,187.96,190.5,170,29,35
Red,FALSE,Heavyweight,3,1,0,0,4,4,0,0,0,1,3,2,0,6,Orthodox,193.04,198.12,265,1,0,0,0,1,0,0,0,0,0,0,0,0,Southpaw,180.34,185.42,250,37,32
Red,FALSE,Lightweight,3,0,3,0,3,5,0,0,0,3,2,1,0,6,Southpaw,172.72,177.8,155,0,1,0,5,5,0,0,1,4,1,3,0,9,Southpaw,177.8,182.88,155,30,29
Blue,FALSE,Middleweight,3,1,0,0,2,4,0,0,1,2,2,0,0,5,Orthodox,182.88,185.42,185,1,0,0,4,11,0,0,2,3,7,0,0,12,Orthodox,182.88,187.96,185,31,38
Red,FALSE,Welterweight,3,0,2,0,4,3,1,0,2,2,1,3,0,8,Orthodox,182.88,182.88,170,0,3,0,3,4,0,0,0,3,1,3,0,7,Orthodox,182.88,185.42,170,36,29
Blue,FALSE,Women's Bantamweight,3,0,1,0,1,1,1,0,0,1,0,0,0,1,Orthodox,167.64,172.72,135,1,0,0,2,4,0,0,0,1,2,2,0,5,Orthodox,167.64,172.72,135,29,41
Blue,FALSE,Bantamweight,3,0,2,0,2,2,0,0,1,1,0,0,0,2,Orthodox,172.72,177.8,135,0,1,0,4,5,0,0,0,2,2,2,0,6,Orthodox,175.26,172.72,135,29,27
Red,FALSE,Welterweight,3,0,1,0,1,3,0,0,3,0,1,0,0,4,Orthodox,180.34,182.88,170,0,1,0,2,3,0,0,1,2,0,1,0,4,Orthodox,180.34,182.88,170,32,28
Red,FALSE,Lightweight,3,1,0,0,0,1,0,0,0,0,0,0,0,0,Southpaw,182.88,185.42,155,2,0,0,1,5,0,0,0,1,2,0,0,3,Southpaw,182.88,180.34,155,32,30
Red,TRUE,Light Heavyweight,5,0,3,0,3,3,0,0,0,1,5,1,0,7,Orthodox,193.04,193.04,205,0,1,0,13,2,12,0,0,7,5,5,0,17,Orthodox,193.04,213.36,205,30,31
Blue,TRUE,Welterweight,5,0,9,0,9,0,1,0,0,7,1,1,0,9,Switch,182.88,193.04,170,0,3,0,3,3,5,1,1,1,5,1,0,9,Orthodox,175.26,187.96,170,31,36
Blue,FALSE,Women's Strawweight,3,0,2,0,2,0,0,0,0,1,0,1,0,2,Switch,162.56,183.6162102,115,2,0,0,3,3,0,0,0,5,0,1,0,6,Orthodox,154.94,152.4,115,29,29
